Part,Value,,Package,Description,,DIGIKEY,MOUSER,NOT_COMPONENT,SEEED,
C1,1u/1608,,CR_1608,SMD CAPACITOR,,,,,302010139,
C2,0.1u/1005,,C0402,SMD CAPACITOR,,490-3261-1-ND,,,302010024 ,
C3,1u/1608,,CR_1608,SMD CAPACITOR,,,,,302010139,
C4,0.1u/1005,,C0402,SMD CAPACITOR,,490-3261-1-ND,,,302010024 ,
C5,0.1u/1005,,C0402,SMD CAPACITOR,,490-3261-1-ND,,,302010024 ,
C6,0.1u/1005,,C0402,SMD CAPACITOR,,490-3261-1-ND,,,302010024 ,
C7,18p/1005,,C0402,SMD CAPACITOR,,490-5858-1-ND,,,302010016 ,
C8,18p/1005,,C0402,SMD CAPACITOR,,490-5858-1-ND,,,302010016 ,
C9,18p/1005,,C0402,SMD CAPACITOR,,490-5858-1-ND,,,302010016 ,
C10,18p/1005,,C0402,SMD CAPACITOR,,490-5858-1-ND,,,302010016 ,
C11,0.1u/1005,,C0402,SMD CAPACITOR,,490-3261-1-ND,,,302010024 ,
C12,0.1u/1005,,C0402,SMD CAPACITOR,,490-3261-1-ND,,,302010024 ,
C13,0.1u/1005,,C0402,SMD CAPACITOR,,490-3261-1-ND,,,302010024 ,
CON1,47589-0001,,CON_USB_47589-0001MOLEX,USB B CONNECTOR,,WM17143CT-ND,,,,
IC1,I-5448,,SOT95P280X145-5N,,,,,,,
IC2,LPC11U35_QFN33,,HVQFN33,,,568-9586-ND,,,310010053,
IC3,NC7SZ00,,SOT95P280X145-5N,SINGLE 2-INPUT POSITIVE-OR GATE,,NC7SZ00M5XCT-ND,,,,
IC4,AT25DN512C,,IC_08_1.27_150MIL,,,,988-A25DN512CSSHFGPT (cuttape),,,
IC5,AT25XE011,,IC_08_1.27_150MIL,,,1265-1137-1-ND,,,,
LED1,LED_3SEG,,LED_3SEG_SMD,Vf@5mA:,,,604-APF3236SEEZGQBDC,,,
Q1,32.768K/2012,,CR_2125,,,1253-1342-1-ND,,,,
Q2,12M/3225,,CLOCK_3225,Crystal 4 pins,,1253-1168-1-ND,,,,
R1,10k/1005,,C0402,SMD resistor,,P10.0KLCT-ND,,,301010047 ,
R2,33/1005,,C0402,SMD resistor,,P33.0LCT-ND,,,301010609 ,
R3,33/1005,,C0402,SMD resistor,,P33.0LCT-ND,,,301010609 ,
R4,1k/1005,,C0402,SMD resistor,,P1.00KLCT-ND ,,,301010006 ,
R5,1k/1005,,C0402,SMD resistor,,P1.00KLCT-ND ,,,301010006 ,
R6,10k/1005,,C0402,SMD resistor,,P10.0KLCT-ND,,,301010047 ,
R7,10k/1005,,C0402,SMD resistor,,P10.0KLCT-ND,,,301010047 ,
R8,10k/1005,,C0402,SMD resistor,,P10.0KLCT-ND,,,301010047 ,
R9,10k/1005,,C0402,SMD resistor,,P10.0KLCT-ND,,,301010047 ,
R10,1.5k/1005,,C0402,SMD resistor,,P1.50KLCT-ND,,,301010001 ,
R11,1k/1005,,C0402,SMD resistor,,P1.00KLCT-ND ,,,301010006 ,
R14,10k/1005,,C0402,SMD resistor,,P10.0KLCT-ND,,,301010047 ,
R15,10k/1005,,C0402,SMD resistor,,P10.0KLCT-ND,,,301010047 ,
SW1,FSM2JMTR,,SW_TACTSW_FSM2JMTR,2P tact switch,,450-2146-1-ND,,,,
SW2,FSM2JMTR,,SW_TACTSW_FSM2JMTR,2P tact switch,,450-2146-1-ND,,,,
SW3,FSM2JMTR,,SW_TACTSW_FSM2JMTR,2P tact switch,,450-2146-1-ND,,,,
TR1,BSS84,,SOT95P300X140-3N,,,BSS84CT-ND,,,,
U1,LBCA2HNZYZ,,IC_MURATA_LBCA2HNZYZ-711,,,490-10561-1-ND,81-LBCA2HNZYZ-711,,,